npi,review_count,business_name,all_rates,score,location
1326115692,53.0,BRONXCARE HEALTH SYSTEM,330.97,1.9,NYC
1417982539,9.0,"VERRAZANO RADIOLOGY ASOCIATES, PC",1365.41,4.0,NYC
1366490104,36.0,ADVANCED RADIOLOGICAL IMAGING-ASTORIA PC,390.23,2.1,NYC
1780071548,18.0,ISLAND MUSCULOSKELETAL CARE MD PC,348.94,1.1,NYC
1053423517,16.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",348.94,2.1,NYC
1942303839,18.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",348.94,1.1,NYC
1134231566,5.0,"ISLAND MUSCULOSKELETAL CARE, M.D., P.C.",348.94,2.2,NYC
1184852741,15.0,MADISON AVENUE RADIOLOGY PC,372.56,2.8,NYC
1780676593,114.0,"PARK AVENUE RADIOLOGISTS, P.C.",372.56,2.5,NYC
1699289488,63.0,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,1985.38,2.3,NYC
1518997204,201.0,WYCKOFF IMAGING SERVICES PC,348.94,1.7,NYC
1427051689,14.0,"NARROWS MRI AND DIAGNOSTIC RADIOLOGY, PC",348.94,3.1,NYC
1851893317,20.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,907.67,3.7,NYC
1780771634,72.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,907.67,3.3,NYC
1598852469,82.0,MAIN STREET RADIOLOGY AT BAYSIDE LLC,907.67,3.4,NYC
1376814863,17.0,APOLLO MEDICAL DIAGNOSTIC SERVICES PLLC,390.23,1.6,NYC
1497771687,22.0,MIDDLE VILLAGE DIAGNOSTIC IMAGING PC,390.23,2.3,NYC
1255422309,1.0,"BROMER MEDICAL, PC",349.92,1.0,NYC
1821036807,316.0,"LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES, PC",1235.6,2.0,NYC
1790736551,84.0,CP ADVANCED IMAGING PLLC,397.46,2.6,NYC
1184888745,5.0,HEALTHCARE ASSOCIATES IN MEDICINE PC,644.9,3.6,NYC
1295788917,6.0,"EAST MANHATTAN DIAGNOSTIC IMAGING, P.C.",1084.62,4.2,NYC
1922051630,7.0,"EAST MANHATTAN DIAGNOSTIC IMAGING, P.C.",1084.62,3.7,NYC
1053362699,19.0,MARINE PARK RADIOLOGY PC,396.62,2.2,NYC
1821016692,1.0,DOCS PHYSICIANS AFFILIATED WITH BIMC,1112.3,5.0,NYC
1811948284,254.0,MAIMONIDES MEDICAL CENTER - MMC RADIOLOGY FPP,645.77,1.9,NYC
1902820335,79.0,BROOKDALE HOSPITAL MEDICAL CENTER,428.06,1.6,NYC
1457643991,6.0,"INTERFAITH PROFESSIONAL PHYSICIAN SERVICES, P.C.",428.06,1.0,NYC
1134152705,21.0,"BAYRIDGE MEDICAL IMAGING, P.C.",996.05,2.3,NYC
1376580720,200.0,BROOKLYN HOSPITAL RADIOLOGY P C,428.06,2.0,NYC
1902089402,3.0,EMPIRE MEDICAL OF ROCKAWAY BEACH PC,317.3,1.0,NYC
